host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd027eb723d9fa09bd,1,'2025-06-24 12:00:09.710',137,183,99,485,116,166,'2025-06-24 12:00:10.876',1166,'2025-06-24 12:00:10.927',1217,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,2,'2025-06-24 12:00:09.735',144,5578,99,153,135,186,'2025-06-24 12:00:16.004',6269,'2025-06-24 12:00:16.047',6312,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,3,'2025-06-24 12:00:09.735',164,229,100,361,124,175,'2025-06-24 12:00:10.876',1141,'2025-06-24 12:00:10.927',1192,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,4,'2025-06-24 12:00:09.756',140,5535,99,135,131,181,'2025-06-24 12:00:15.944',6188,'2025-06-24 12:00:15.967',6211,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,5,'2025-06-24 12:00:09.776',158,153,99,362,147,197,'2025-06-24 12:00:10.936',1160,'2025-06-24 12:00:10.967',1191,yes,no,yes
52.83.211.74,lzgd02fd0916320be5ec,1,'2025-06-24 12:00:11.053',151,5538,99,160,114,164,'2025-06-24 12:00:17.289',6236,'2025-06-24 12:00:17.331',6278,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,2,'2025-06-24 12:00:11.079',138,153,99,416,101,152,'2025-06-24 12:00:12.182',1103,'2025-06-24 12:00:12.210',1131,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,3,'2025-06-24 12:00:11.094',130,193,99,398,146,196,'2025-06-24 12:00:12.242',1148,'2025-06-24 12:00:12.251',1157,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,4,'2025-06-24 12:00:11.116',157,191,99,347,137,188,'2025-06-24 12:00:12.242',1126,'2025-06-24 12:00:12.251',1135,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,5,'2025-06-24 12:00:11.130',147,5602,99,149,134,185,'2025-06-24 12:00:17.430',6300,'2025-06-24 12:00:17.451',6321,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,1,'2025-06-24 12:00:11.664',161,172,99,493,109,159,'2025-06-24 12:00:12.860',1196,'2025-06-24 12:00:12.896',1232,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,2,'2025-06-24 12:00:11.614',157,187,99,497,134,185,'2025-06-24 12:00:12.860',1246,'2025-06-24 12:00:12.896',1282,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,3,'2025-06-24 12:00:11.634',153,168,99,470,137,188,'2025-06-24 12:00:12.840',1206,'2025-06-24 12:00:12.896',1262,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,4,'2025-06-24 12:00:11.674',175,162,99,29312,131,182,'2025-06-24 12:00:41.726',30052,'2025-06-24 12:00:41.775',30101,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,5,'2025-06-24 12:00:11.653',163,184,99,27684,125,176,'2025-06-24 12:00:40.074',28421,'2025-06-24 12:00:40.095',28442,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,1,'2025-06-24 12:00:14.097',164,5560,99,144,125,175,'2025-06-24 12:00:20.360',6263,'2025-06-24 12:00:20.380',6283,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,2,'2025-06-24 12:00:14.028',29821,196,99,176,126,176,'2025-06-24 12:00:46.581',32553,'2025-06-24 12:00:46.621',32593,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,3,'2025-06-24 12:00:14.123',156,5627,99,156,116,166,'2025-06-24 12:00:20.440',6317,'2025-06-24 12:00:20.460',6337,yes,yes,yes
