host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd027eb723d9fa09bd,1,'2025-06-24 09:02:55.161',136,172,100,27660,124,174,'2025-06-24 09:03:23.546',28385,'2025-06-24 09:03:23.567',28406,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,2,'2025-06-24 09:02:55.178',140,157,100,27301,117,168,'2025-06-24 09:03:23.143',27965,'2025-06-24 09:03:23.167',27989,yes,no,no
52.83.211.74,lzgd027eb723d9fa09bd,3,'2025-06-24 09:02:55.210',159,175,99,537,136,186,'2025-06-24 09:02:56.508',1298,'2025-06-24 09:02:56.527',1317,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,4,'2025-06-24 09:02:55.214',155,164,99,27631,121,172,'2025-06-24 09:03:23.546',28332,'2025-06-24 09:03:23.567',28353,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,5,'2025-06-24 09:02:55.290',154,163,100,26565,121,172,'2025-06-24 09:03:22.600',27310,'2025-06-24 09:03:22.607',27317,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,1,'2025-06-24 09:02:56.417',170,180,99,27443,105,155,'2025-06-24 09:03:24.591',28174,'2025-06-24 09:03:24.629',28212,yes,no,no
52.83.211.74,lzgd02fd0916320be5ec,2,'2025-06-24 09:02:56.459',165,147,100,533,116,166,'2025-06-24 09:02:57.734',1275,'2025-06-24 09:02:57.752',1293,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,3,'2025-06-24 09:02:56.485',174,146,99,533,147,198,'2025-06-24 09:02:57.771',1286,'2025-06-24 09:02:57.791',1306,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,4,'2025-06-24 09:02:56.500',153,151,100,466,116,166,'2025-06-24 09:02:57.710',1210,'2025-06-24 09:02:57.749',1249,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,5,'2025-06-24 09:02:56.514',169,159,100,28648,127,178,'2025-06-24 09:03:25.880',29366,'2025-06-24 09:03:25.911',29397,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,1,'2025-06-24 09:02:59.885',142,163,100,555,142,193,'2025-06-24 09:03:01.213',1328,'2025-06-24 09:03:01.243',1358,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,2,'2025-06-24 09:02:59.970',138,205,101,408,109,159,'2025-06-24 09:03:01.213',1243,'2025-06-24 09:03:01.243',1273,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,3,'2025-06-24 09:02:59.924',171,168,100,469,133,183,'2025-06-24 09:03:01.213',1289,'2025-06-24 09:03:01.243',1319,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,4,'2025-06-24 09:02:59.966',144,156,100,491,144,195,'2025-06-24 09:03:01.213',1247,'2025-06-24 09:03:01.243',1277,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,5,'2025-06-24 09:02:59.975',142,177,99,506,119,169,'2025-06-24 09:03:01.213',1238,'2025-06-24 09:03:01.243',1268,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,1,'2025-06-24 09:02:57.002',142,161,99,441,105,155,'2025-06-24 09:02:58.113',1111,'2025-06-24 09:02:58.158',1156,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,2,'2025-06-24 09:02:57.022',141,189,107,365,106,156,'2025-06-24 09:02:58.133',1111,'2025-06-24 09:02:58.158',1136,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,3,'2025-06-24 09:02:57.037',183,182,100,28024,106,156,'2025-06-24 09:03:25.857',28820,'2025-06-24 09:03:25.878',28841,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,4,'2025-06-24 09:02:57.066',190,220,100,259,144,194,'2025-06-24 09:02:58.193',1127,'2025-06-24 09:02:58.198',1132,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,5,'2025-06-24 09:02:57.077',148,244,99,253,107,157,'2025-06-24 09:02:58.133',1056,'2025-06-24 09:02:58.158',1081,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,1,'2025-06-24 09:02:59.353',29878,267,100,198,144,194,'2025-06-24 09:03:31.897',32544,'2025-06-24 09:03:31.928',32575,yes,yes,no
