host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd027eb723d9fa09bd,1,'2025-06-24 08:00:17.887',173,162,99,28663,110,161,'2025-06-24 08:00:47.110',29223,'2025-06-24 08:00:47.129',29242,yes,yes,no
52.83.211.74,lzgd027eb723d9fa09bd,2,'2025-06-24 08:00:17.901',156,190,99,625,120,171,'2025-06-24 08:00:19.121',1220,'2025-06-24 08:00:19.167',1266,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,3,'2025-06-24 08:00:17.940',154,5551,100,152,119,170,'2025-06-24 08:00:24.045',6105,'2025-06-24 08:00:24.087',6147,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,4,'2025-06-24 08:00:17.947',153,11165,99,173,151,201,'2025-06-24 08:00:29.692',11745,'2025-06-24 08:00:29.728',11781,yes,no,no
52.83.211.74,lzgd027eb723d9fa09bd,5,'2025-06-24 08:00:17.957',176,154,99,29622,109,162,'2025-06-24 08:00:48.159',30202,'2025-06-24 08:00:48.168',30211,yes,no,no
52.83.211.74,lzgd02fd0916320be5ec,1,'2025-06-24 08:00:19.039',143,5642,100,147,129,179,'2025-06-24 08:00:25.227',6188,'2025-06-24 08:00:25.270',6231,yes,no,no
52.83.211.74,lzgd02fd0916320be5ec,2,'2025-06-24 08:00:19.089',140,161,99,625,124,175,'2025-06-24 08:00:20.238',1149,'2025-06-24 08:00:20.269',1180,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,3,'2025-06-24 08:00:19.014',159,5594,99,172,113,168,'2025-06-24 08:00:25.227',6213,'2025-06-24 08:00:25.270',6256,yes,no,no
52.83.211.74,lzgd02fd0916320be5ec,4,'2025-06-24 08:00:19.101',166,174,99,27194,112,162,'2025-06-24 08:00:46.883',27782,'2025-06-24 08:00:46.910',27809,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,5,'2025-06-24 08:00:19.145',165,157,99,543,138,189,'2025-06-24 08:00:20.259',1114,'2025-06-24 08:00:20.309',1164,yes,yes,yes
52.83.211.74,lzgd0561246928bddd80,1,'2025-06-24 08:00:37.054',142,862,99,158,111,162,'2025-06-24 08:00:38.864',1810,'2025-06-24 08:00:38.883',1829,yes,no,no
52.83.211.74,lzgd0561246928bddd80,2,'2025-06-24 08:00:37.355',137,374,100,449,137,192,'2025-06-24 08:00:38.802',1447,'2025-06-24 08:00:38.803',1448,yes,no,yes
52.83.211.74,lzgd0561246928bddd80,3,'2025-06-24 08:00:37.839',77,184,99,128,122,180,'2025-06-24 08:00:38.864',1025,'2025-06-24 08:00:38.883',1044,yes,no,yes
52.83.211.74,lzgd0561246928bddd80,4,'2025-06-24 08:00:37.664',163,173,100,155,118,174,'2025-06-24 08:00:38.864',1200,'2025-06-24 08:00:38.883',1219,yes,no,no
52.83.211.74,lzgd0561246928bddd80,5,'2025-06-24 08:00:38.086',147,303,99,165,106,157,'2025-06-24 08:00:39.004',918,'2025-06-24 08:00:39.044',958,yes,no,yes
52.83.211.74,lzgd07f112acd312c704,1,'2025-06-24 08:00:35.830',154,206,300,478,133,184,'2025-06-24 08:00:37.331',1501,'2025-06-24 08:00:37.346',1516,yes,no,no
52.83.211.74,lzgd07f112acd312c704,2,'2025-06-24 08:00:35.989',156,175,99,166,135,186,'2025-06-24 08:00:37.348',1359,'2025-06-24 08:00:37.386',1397,yes,no,no
52.83.211.74,lzgd07f112acd312c704,3,'2025-06-24 08:00:35.937',153,195,101,545,136,187,'2025-06-24 08:00:37.348',1411,'2025-06-24 08:00:37.386',1449,yes,no,no
52.83.211.74,lzgd07f112acd312c704,4,'2025-06-24 08:00:36.081',178,386,97,228,142,192,'2025-06-24 08:00:37.447',1366,'2025-06-24 08:00:37.466',1385,yes,no,no
52.83.211.74,lzgd07f112acd312c704,5,'2025-06-24 08:00:36.017',155,224,106,524,111,162,'2025-06-24 08:00:37.406',1389,'2025-06-24 08:00:37.427',1410,yes,no,no
52.83.211.74,lzgd08e4bc11b44d5d2d,1,'2025-06-24 08:00:22.369',159,202,99,28314,184,239,'2025-06-24 08:00:51.672',29303,'2025-06-24 08:00:51.683',29314,yes,no,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,2,'2025-06-24 08:00:22.391',164,213,100,477,112,163,'2025-06-24 08:00:23.743',1352,'2025-06-24 08:00:23.764',1373,yes,no,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,3,'2025-06-24 08:00:22.397',149,224,99,570,109,159,'2025-06-24 08:00:23.763',1366,'2025-06-24 08:00:23.803',1406,yes,no,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,4,'2025-06-24 08:00:22.407',162,300,100,518,122,170,'2025-06-24 08:00:23.803',1396,'2025-06-24 08:00:23.843',1436,yes,no,yes
