host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd027eb723d9fa09bd,1,'2025-06-25 09:56:57.956',144,163,99,475,144,194,'2025-06-25 09:56:59.153',1197,'2025-06-25 09:56:59.192',1236,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,2,'2025-06-25 09:56:58.054',134,170,99,393,115,166,'2025-06-25 09:56:59.153',1099,'2025-06-25 09:56:59.193',1139,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,3,'2025-06-25 09:56:58.154',174,140,99,462,121,171,'2025-06-25 09:56:59.133',979,'2025-06-25 09:56:59.153',999,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,1,'2025-06-25 09:57:01.530',153,150,99,442,114,164,'2025-06-25 09:57:02.622',1092,'2025-06-25 09:57:02.642',1112,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,2,'2025-06-25 09:57:01.628',159,150,100,333,149,199,'2025-06-25 09:57:02.702',1074,'2025-06-25 09:57:02.722',1094,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,3,'2025-06-25 09:57:01.727',133,168,99,403,117,167,'2025-06-25 09:57:02.642',915,'2025-06-25 09:57:02.682',955,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,1,'2025-06-25 09:57:09.469',143,168,99,404,119,170,'2025-06-25 09:57:10.548',1079,'2025-06-25 09:57:10.568',1099,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,2,'2025-06-25 09:57:09.568',136,179,99,338,136,186,'2025-06-25 09:57:10.608',1040,'2025-06-25 09:57:10.648',1080,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,3,'2025-06-25 09:57:09.665',148,148,99,400,110,160,'2025-06-25 09:57:10.568',903,'2025-06-25 09:57:10.608',943,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,1,'2025-06-25 09:57:02.824',165,152,99,518,113,164,'2025-06-25 09:57:04.050',1226,'2025-06-25 09:57:04.070',1246,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,2,'2025-06-25 09:57:02.923',146,165,99,470,149,200,'2025-06-25 09:57:04.131',1208,'2025-06-25 09:57:04.150',1227,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,3,'2025-06-25 09:57:03.022',154,156,99,542,108,158,'2025-06-25 09:57:04.070',1048,'2025-06-25 09:57:04.111',1089,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,1,'2025-06-25 09:57:08.806',138,145,99,455,131,181,'2025-06-25 09:57:09.918',1112,'2025-06-25 09:57:09.958',1152,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,2,'2025-06-25 09:57:08.905',156,150,99,336,111,161,'2025-06-25 09:57:09.918',1013,'2025-06-25 09:57:09.958',1053,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,3,'2025-06-25 09:57:09.004',143,140,99,403,123,174,'2025-06-25 09:57:09.898',894,'2025-06-25 09:57:09.918',914,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,1,'2025-06-25 09:57:18.335',129,160,100,534,134,185,'2025-06-25 09:57:19.542',1207,'2025-06-25 09:57:19.582',1247,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,2,'2025-06-25 09:57:18.431',132,146,99,468,121,171,'2025-06-25 09:57:19.542',1111,'2025-06-25 09:57:19.582',1151,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,3,'2025-06-25 09:57:18.532',140,176,100,469,119,169,'2025-06-25 09:57:19.522',990,'2025-06-25 09:57:19.542',1010,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,1,'2025-06-25 09:57:00.642',151,160,99,529,102,152,'2025-06-25 09:57:01.842',1200,'2025-06-25 09:57:01.862',1220,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,2,'2025-06-25 09:57:00.742',138,164,99,475,114,164,'2025-06-25 09:57:01.882',1140,'2025-06-25 09:57:01.902',1160,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,3,'2025-06-25 09:57:00.839',136,179,99,514,123,173,'2025-06-25 09:57:01.882',1043,'2025-06-25 09:57:01.902',1063,yes,yes,yes
52.83.211.74,lzgd1762ac30d8afa9df,1,'2025-06-25 09:57:03.416',148,144,100,431,120,170,'2025-06-25 09:57:04.487',1071,'2025-06-25 09:57:04.507',1091,yes,yes,yes
52.83.211.74,lzgd1762ac30d8afa9df,2,'2025-06-25 09:57:03.515',133,155,99,370,107,157,'2025-06-25 09:57:04.527',1012,'2025-06-25 09:57:04.547',1032,yes,yes,yes
52.83.211.74,lzgd1762ac30d8afa9df,3,'2025-06-25 09:57:03.615',144,162,100,380,119,170,'2025-06-25 09:57:04.507',892,'2025-06-25 09:57:04.547',932,yes,yes,yes
52.83.211.74,lzgd18c75f902f6aa885,1,'2025-06-25 09:57:14.031',129,146,99,491,122,172,'2025-06-25 09:57:15.179',1148,'2025-06-25 09:57:15.200',1169,yes,yes,yes
52.83.211.74,lzgd18c75f902f6aa885,2,'2025-06-25 09:57:14.132',143,174,100,415,151,201,'2025-06-25 09:57:15.260',1128,'2025-06-25 09:57:15.280',1148,yes,yes,yes
52.83.211.74,lzgd18c75f902f6aa885,3,'2025-06-25 09:57:14.233',153,156,100,432,133,184,'2025-06-25 09:57:15.200',967,'2025-06-25 09:57:15.240',1007,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,1,'2025-06-25 09:57:00.343',126,167,99,514,135,185,'2025-06-25 09:57:01.509',1166,'2025-06-25 09:57:01.529',1186,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,2,'2025-06-25 09:57:00.443',131,146,100,444,130,180,'2025-06-25 09:57:01.570',1127,'2025-06-25 09:57:01.609',1166,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,3,'2025-06-25 09:57:00.541',149,143,99,488,147,197,'2025-06-25 09:57:01.570',1029,'2025-06-25 09:57:01.609',1068,yes,yes,yes
52.83.211.74,lzgd1da1babbb1010ee7,1,'2025-06-25 09:57:15.232',144,161,100,522,139,189,'2025-06-25 09:57:16.465',1233,'2025-06-25 09:57:16.505',1273,yes,yes,yes
52.83.211.74,lzgd1da1babbb1010ee7,2,'2025-06-25 09:57:15.328',153,143,99,502,125,175,'2025-06-25 09:57:16.506',1178,'2025-06-25 09:57:16.545',1217,yes,yes,yes
52.83.211.74,lzgd1da1babbb1010ee7,3,'2025-06-25 09:57:15.427',156,160,99,486,129,180,'2025-06-25 09:57:16.445',1018,'2025-06-25 09:57:16.465',1038,yes,yes,yes
52.83.211.74,lzgd1e6181f4e0987357,1,'2025-06-25 09:57:13.440',166,147,100,520,139,190,'2025-06-25 09:57:14.677',1237,'2025-06-25 09:57:14.717',1277,yes,yes,yes
52.83.211.74,lzgd1e6181f4e0987357,2,'2025-06-25 09:57:13.540',136,151,99,491,108,159,'2025-06-25 09:57:14.677',1137,'2025-06-25 09:57:14.717',1177,yes,yes,yes
52.83.211.74,lzgd1e6181f4e0987357,3,'2025-06-25 09:57:13.635',128,165,100,515,125,176,'2025-06-25 09:57:14.657',1022,'2025-06-25 09:57:14.677',1042,yes,yes,yes
52.83.211.74,lzgd248a705ea1365e60,1,'2025-06-25 09:56:54.398',152,164,99,422,105,155,'2025-06-25 09:56:55.487',1089,'2025-06-25 09:56:55.507',1109,yes,yes,yes
52.83.211.74,lzgd248a705ea1365e60,2,'2025-06-25 09:56:54.495',147,189,99,341,136,186,'2025-06-25 09:56:55.547',1052,'2025-06-25 09:56:55.587',1092,yes,yes,yes
52.83.211.74,lzgd248a705ea1365e60,3,'2025-06-25 09:56:54.592',165,149,99,411,143,194,'2025-06-25 09:56:55.547',955,'2025-06-25 09:56:55.587',995,yes,yes,yes
52.83.211.74,lzgd2ad7456ef4fcba4f,1,'2025-06-25 09:57:03.717',170,165,99,473,140,190,'2025-06-25 09:57:04.912',1195,'2025-06-25 09:57:04.952',1235,yes,yes,yes
52.83.211.74,lzgd2ad7456ef4fcba4f,2,'2025-06-25 09:57:03.812',148,144,99,405,116,167,'2025-06-25 09:57:04.912',1100,'2025-06-25 09:57:04.952',1140,yes,yes,yes
52.83.211.74,lzgd2ad7456ef4fcba4f,3,'2025-06-25 09:57:03.910',151,167,99,464,115,166,'2025-06-25 09:57:04.892',982,'2025-06-25 09:57:04.912',1002,yes,yes,yes
52.83.211.74,lzgd2b52b3c17c7061b9,1,'2025-06-25 09:57:17.429',153,150,99,482,139,189,'2025-06-25 09:57:18.594',1165,'2025-06-25 09:57:18.634',1205,yes,yes,yes
52.83.211.74,lzgd2b52b3c17c7061b9,2,'2025-06-25 09:57:17.528',153,145,99,377,110,160,'2025-06-25 09:57:18.594',1066,'2025-06-25 09:57:18.634',1106,yes,yes,yes
52.83.211.74,lzgd2b52b3c17c7061b9,3,'2025-06-25 09:57:17.626',133,152,99,451,125,175,'2025-06-25 09:57:18.574',948,'2025-06-25 09:57:18.593',967,yes,yes,yes
52.83.211.74,lzgd2cbd00e104249138,1,'2025-06-25 09:57:10.360',135,148,99,478,112,162,'2025-06-25 09:57:11.492',1132,'2025-06-25 09:57:11.512',1152,yes,yes,yes
52.83.211.74,lzgd2cbd00e104249138,2,'2025-06-25 09:57:10.459',183,152,99,374,115,166,'2025-06-25 09:57:11.532',1073,'2025-06-25 09:57:11.552',1093,yes,yes,yes
52.83.211.74,lzgd2cbd00e104249138,3,'2025-06-25 09:57:10.558',152,173,99,421,122,172,'2025-06-25 09:57:11.532',974,'2025-06-25 09:57:11.552',994,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,1,'2025-06-25 09:56:59.454',159,154,99,451,118,169,'2025-06-25 09:57:00.576',1122,'2025-06-25 09:57:00.596',1142,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,2,'2025-06-25 09:56:59.552',134,147,99,384,103,153,'2025-06-25 09:57:00.596',1044,'2025-06-25 09:57:00.637',1085,yes,yes,yes
52.83.211.74,lzgd303a6b7b504a23ac,3,'2025-06-25 09:56:59.649',194,161,99,376,122,172,'2025-06-25 09:57:00.596',947,'2025-06-25 09:57:00.636',987,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,1,'2025-06-25 09:57:00.045',168,204,99,499,130,181,'2025-06-25 09:57:01.305',1260,'2025-06-25 09:57:01.325',1280,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,2,'2025-06-25 09:57:00.144',144,153,99,496,116,167,'2025-06-25 09:57:01.325',1181,'2025-06-25 09:57:01.365',1221,yes,yes,yes
52.83.211.74,lzgd3aa900b52fd38806,3,'2025-06-25 09:57:00.244',145,166,99,539,137,187,'2025-06-25 09:57:01.325',1081,'2025-06-25 09:57:01.365',1121,yes,yes,yes
52.83.211.74,lzgd3cac95fa9d6edf90,1,'2025-06-25 09:57:04.602',151,156,99,457,124,174,'2025-06-25 09:57:05.717',1115,'2025-06-25 09:57:05.738',1136,yes,yes,yes
52.83.211.74,lzgd3cac95fa9d6edf90,2,'2025-06-25 09:57:04.703',146,152,99,368,109,160,'2025-06-25 09:57:05.737',1034,'2025-06-25 09:57:05.777',1074,yes,yes,yes
52.83.211.74,lzgd3cac95fa9d6edf90,3,'2025-06-25 09:57:04.800',134,146,99,423,134,185,'2025-06-25 09:57:05.737',937,'2025-06-25 09:57:05.777',977,yes,yes,yes
52.83.211.74,lzgd4782b152d37fabdf,1,'2025-06-25 09:57:16.227',174,172,100,535,112,163,'2025-06-25 09:57:17.529',1302,'2025-06-25 09:57:17.568',1341,yes,yes,yes
52.83.211.74,lzgd4782b152d37fabdf,2,'2025-06-25 09:57:16.325',150,147,99,400,120,171,'2025-06-25 09:57:17.449',1124,'2025-06-25 09:57:17.488',1163,yes,yes,yes
52.83.211.74,lzgd4782b152d37fabdf,3,'2025-06-25 09:57:16.427',142,166,100,310,119,169,'2025-06-25 09:57:17.428',1001,'2025-06-25 09:57:17.449',1022,yes,yes,yes
52.83.211.74,lzgd47a3c029f3767795,1,'2025-06-25 09:57:07.317',131,151,100,510,133,183,'2025-06-25 09:57:08.480',1163,'2025-06-25 09:57:08.501',1184,yes,yes,yes
52.83.211.74,lzgd47a3c029f3767795,2,'2025-06-25 09:57:07.415',135,151,99,444,110,161,'2025-06-25 09:57:08.501',1086,'2025-06-25 09:57:08.541',1126,yes,yes,yes
