host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd027eb723d9fa09bd,1,'2025-06-25 11:37:31.431',159,171,99,461,133,184,'2025-06-25 11:37:32.613',1182,'2025-06-25 11:37:32.633',1202,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,2,'2025-06-25 11:37:31.530',158,160,100,426,107,158,'2025-06-25 11:37:32.613',1083,'2025-06-25 11:37:32.633',1103,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,3,'2025-06-25 11:37:31.635',139,159,99,459,127,178,'2025-06-25 11:37:32.613',978,'2025-06-25 11:37:32.633',998,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,4,'2025-06-25 11:37:31.729',154,154,99,366,119,170,'2025-06-25 11:37:32.613',884,'2025-06-25 11:37:32.633',904,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,1,'2025-06-25 11:37:36.090',154,167,99,528,145,195,'2025-06-25 11:37:37.342',1252,'2025-06-25 11:37:37.362',1272,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,2,'2025-06-25 11:37:36.188',169,166,100,453,117,167,'2025-06-25 11:37:37.322',1134,'2025-06-25 11:37:37.362',1174,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,3,'2025-06-25 11:37:36.288',141,152,99,533,119,170,'2025-06-25 11:37:37.322',1034,'2025-06-25 11:37:37.362',1074,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,4,'2025-06-25 11:37:36.384',157,165,99,430,104,154,'2025-06-25 11:37:37.342',958,'2025-06-25 11:37:37.362',978,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,1,'2025-06-25 11:37:46.324',173,164,100,449,118,168,'2025-06-25 11:37:47.500',1176,'2025-06-25 11:37:47.528',1204,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,2,'2025-06-25 11:37:46.426',151,146,99,432,146,196,'2025-06-25 11:37:47.560',1134,'2025-06-25 11:37:47.608',1182,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,3,'2025-06-25 11:37:46.524',148,157,99,465,151,202,'2025-06-25 11:37:47.540',1016,'2025-06-25 11:37:47.568',1044,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,4,'2025-06-25 11:37:46.624',157,176,100,353,115,165,'2025-06-25 11:37:47.520',896,'2025-06-25 11:37:47.569',945,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,1,'2025-06-25 11:37:37.608',148,166,100,509,137,187,'2025-06-25 11:37:38.843',1235,'2025-06-25 11:37:38.870',1262,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,2,'2025-06-25 11:37:37.708',151,209,99,366,148,198,'2025-06-25 11:37:38.863',1155,'2025-06-25 11:37:38.910',1202,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,3,'2025-06-25 11:37:37.806',187,161,99,443,122,172,'2025-06-25 11:37:38.823',1017,'2025-06-25 11:37:38.830',1024,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,4,'2025-06-25 11:37:37.906',127,161,99,437,137,187,'2025-06-25 11:37:38.863',957,'2025-06-25 11:37:38.910',1004,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,1,'2025-06-25 11:37:45.535',135,172,100,521,104,155,'2025-06-25 11:37:46.709',1174,'2025-06-25 11:37:46.718',1183,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,2,'2025-06-25 11:37:45.634',153,162,100,427,109,160,'2025-06-25 11:37:46.748',1114,'2025-06-25 11:37:46.758',1124,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,3,'2025-06-25 11:37:45.754',137,197,99,440,117,167,'2025-06-25 11:37:46.748',994,'2025-06-25 11:37:46.758',1004,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,4,'2025-06-25 11:37:45.839',141,170,99,404,146,197,'2025-06-25 11:37:46.788',949,'2025-06-25 11:37:46.838',999,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,1,'2025-06-25 11:37:58.286',174,140,99,460,112,163,'2025-06-25 11:37:59.434',1148,'2025-06-25 11:37:59.462',1176,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,2,'2025-06-25 11:37:58.386',135,154,100,343,131,181,'2025-06-25 11:37:59.434',1048,'2025-06-25 11:37:59.462',1076,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,3,'2025-06-25 11:37:58.634',147,138,101,304,107,158,'2025-06-25 11:37:59.434',800,'2025-06-25 11:37:59.462',828,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,4,'2025-06-25 11:37:58.657',150,156,100,273,102,153,'2025-06-25 11:37:59.434',777,'2025-06-25 11:37:59.462',805,yes,yes,no
52.83.211.74,lzgd15f6d690d219f24c,1,'2025-06-25 11:37:34.907',136,180,99,540,129,180,'2025-06-25 11:37:36.192',1285,'2025-06-25 11:37:36.222',1315,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,2,'2025-06-25 11:37:35.002',154,143,99,530,149,200,'2025-06-25 11:37:36.212',1210,'2025-06-25 11:37:36.222',1220,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,3,'2025-06-25 11:37:35.099',157,156,100,412,106,156,'2025-06-25 11:37:36.192',1093,'2025-06-25 11:37:36.222',1123,yes,yes,yes
