host,channel,index,start_time,get_ice_config_signaling_call,connect_signaling_client,tls_handshake_time,offer_sent_to_answer_received_time,dtls_initialization_completion,ice_hole_punching_time,first_audio_time,audio_latency_ms,first_video_time,video_latency_ms,pull_success,stable_audio,stable_video
52.83.211.74,lzgd027eb723d9fa09bd,1,'2025-06-26 03:09:34.271',152,151,99,475,147,197,'2025-06-26 03:09:35.417',1146,'2025-06-26 03:09:35.457',1186,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,2,'2025-06-26 03:09:34.370',160,156,99,388,135,186,'2025-06-26 03:09:35.457',1087,'2025-06-26 03:09:35.497',1127,yes,yes,yes
52.83.211.74,lzgd027eb723d9fa09bd,3,'2025-06-26 03:09:34.467',166,171,99,389,121,171,'2025-06-26 03:09:35.397',930,'2025-06-26 03:09:35.417',950,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,1,'2025-06-26 03:09:37.833',147,144,99,379,133,184,'2025-06-26 03:09:38.880',1047,'2025-06-26 03:09:38.901',1068,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,2,'2025-06-26 03:09:37.933',152,164,99,270,125,175,'2025-06-26 03:09:38.901',968,'2025-06-26 03:09:38.941',1008,yes,yes,yes
52.83.211.74,lzgd02fd0916320be5ec,3,'2025-06-26 03:09:38.031',148,167,99,329,123,174,'2025-06-26 03:09:38.901',870,'2025-06-26 03:09:38.941',910,yes,yes,yes
52.83.211.74,lzgd0561246928bddd80,1,'2025-06-26 03:10:02.164',150,149,98,464,183,234,'2025-06-26 03:10:03.435',1271,'2025-06-26 03:10:03.435',1271,yes,no,no
52.83.211.74,lzgd0561246928bddd80,2,'2025-06-26 03:10:02.260',129,164,101,401,131,182,'2025-06-26 03:10:03.437',1177,'2025-06-26 03:10:03.437',1177,yes,no,no
52.83.211.74,lzgd0561246928bddd80,3,'2025-06-26 03:10:02.433',159,166,100,364,134,185,'2025-06-26 03:10:03.402',969,'2025-06-26 03:10:03.422',989,yes,yes,no
52.83.211.74,lzgd07f112acd312c704,1,'2025-06-26 03:10:01.143',132,178,99,417,155,206,'2025-06-26 03:10:02.392',1249,'2025-06-26 03:10:02.432',1289,yes,yes,no
52.83.211.74,lzgd07f112acd312c704,2,'2025-06-26 03:10:01.250',135,173,98,389,106,157,'2025-06-26 03:10:02.334',1084,'2025-06-26 03:10:02.352',1102,yes,yes,yes
52.83.211.74,lzgd07f112acd312c704,3,'2025-06-26 03:10:01.370',139,153,100,417,106,156,'2025-06-26 03:10:02.352',982,'2025-06-26 03:10:02.392',1022,yes,yes,no
52.83.211.74,lzgd08e4bc11b44d5d2d,1,'2025-06-26 03:09:45.701',164,151,99,426,113,163,'2025-06-26 03:09:46.841',1140,'2025-06-26 03:09:46.861',1160,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,2,'2025-06-26 03:09:45.807',164,158,99,341,111,162,'2025-06-26 03:09:46.861',1054,'2025-06-26 03:09:46.902',1095,yes,yes,yes
52.83.211.74,lzgd08e4bc11b44d5d2d,3,'2025-06-26 03:09:45.910',147,174,99,411,119,170,'2025-06-26 03:09:46.861',951,'2025-06-26 03:09:46.901',991,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,1,'2025-06-26 03:09:39.042',147,169,99,529,139,190,'2025-06-26 03:09:40.324',1282,'2025-06-26 03:09:40.364',1322,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,2,'2025-06-26 03:09:39.142',173,151,99,463,133,183,'2025-06-26 03:09:40.304',1162,'2025-06-26 03:09:40.324',1182,yes,yes,yes
52.83.211.74,lzgd10eb690a12b4d19e,3,'2025-06-26 03:09:39.240',154,172,100,383,116,166,'2025-06-26 03:09:40.324',1084,'2025-06-26 03:09:40.364',1124,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,1,'2025-06-26 03:09:45.041',150,164,99,460,109,159,'2025-06-26 03:09:46.185',1144,'2025-06-26 03:09:46.225',1184,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,2,'2025-06-26 03:09:45.136',147,163,99,389,135,185,'2025-06-26 03:09:46.226',1090,'2025-06-26 03:09:46.266',1130,yes,yes,yes
52.83.211.74,lzgd11fed05efd7c2acc,3,'2025-06-26 03:09:45.235',136,158,99,430,121,172,'2025-06-26 03:09:46.165',930,'2025-06-26 03:09:46.186',951,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,1,'2025-06-26 03:09:54.689',135,183,99,429,119,170,'2025-06-26 03:09:55.818',1129,'2025-06-26 03:09:55.838',1149,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,2,'2025-06-26 03:09:54.788',135,153,99,397,143,193,'2025-06-26 03:09:55.878',1090,'2025-06-26 03:09:55.918',1130,yes,yes,yes
52.83.211.74,lzgd13ad3c1b7422e0ea,3,'2025-06-26 03:09:54.887',134,154,100,426,122,173,'2025-06-26 03:09:55.838',951,'2025-06-26 03:09:55.878',991,yes,yes,yes
52.83.211.74,lzgd140a32512ec25709,1,'2025-06-26 03:09:58.526',141,153,100,482,130,181,'2025-06-26 03:09:59.721',1195,'2025-06-26 03:09:59.742',1216,yes,no,yes
52.83.211.74,lzgd140a32512ec25709,2,'2025-06-26 03:09:58.620',129,181,99,444,120,170,'2025-06-26 03:09:59.741',1121,'2025-06-26 03:09:59.781',1161,yes,yes,yes
52.83.211.74,lzgd140a32512ec25709,3,'2025-06-26 03:09:58.721',141,149,99,493,123,174,'2025-06-26 03:09:59.741',1020,'2025-06-26 03:09:59.781',1060,yes,no,yes
52.83.211.74,lzgd15f6d690d219f24c,1,'2025-06-26 03:09:36.946',151,157,99,526,147,198,'2025-06-26 03:09:38.155',1209,'2025-06-26 03:09:38.194',1248,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,2,'2025-06-26 03:09:37.044',168,141,99,403,113,164,'2025-06-26 03:09:38.154',1110,'2025-06-26 03:09:38.194',1150,yes,yes,yes
52.83.211.74,lzgd15f6d690d219f24c,3,'2025-06-26 03:09:37.143',173,158,99,453,122,173,'2025-06-26 03:09:38.134',991,'2025-06-26 03:09:38.155',1012,yes,yes,yes
52.83.211.74,lzgd1762ac30d8afa9df,1,'2025-06-26 03:09:39.633',138,156,99,474,120,170,'2025-06-26 03:09:40.796',1163,'2025-06-26 03:09:40.836',1203,yes,yes,yes
52.83.211.74,lzgd1762ac30d8afa9df,2,'2025-06-26 03:09:39.734',154,143,99,394,106,156,'2025-06-26 03:09:40.796',1062,'2025-06-26 03:09:40.836',1102,yes,yes,yes
52.83.211.74,lzgd1762ac30d8afa9df,3,'2025-06-26 03:09:39.831',152,148,99,427,134,184,'2025-06-26 03:09:40.776',945,'2025-06-26 03:09:40.796',965,yes,yes,yes
52.83.211.74,lzgd18c75f902f6aa885,1,'2025-06-26 03:09:50.325',140,171,99,513,131,181,'2025-06-26 03:09:51.564',1239,'2025-06-26 03:09:51.584',1259,yes,yes,yes
52.83.211.74,lzgd18c75f902f6aa885,2,'2025-06-26 03:09:50.426',147,148,99,448,119,169,'2025-06-26 03:09:51.564',1138,'2025-06-26 03:09:51.584',1158,yes,yes,yes
52.83.211.74,lzgd18c75f902f6aa885,3,'2025-06-26 03:09:50.527',138,155,99,504,114,165,'2025-06-26 03:09:51.525',998,'2025-06-26 03:09:51.544',1017,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,1,'2025-06-26 03:09:36.649',154,165,99,480,113,163,'2025-06-26 03:09:37.799',1150,'2025-06-26 03:09:37.819',1170,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,2,'2025-06-26 03:09:36.748',167,150,100,375,150,201,'2025-06-26 03:09:37.859',1111,'2025-06-26 03:09:37.899',1151,yes,yes,yes
52.83.211.74,lzgd19648f6e54d68ebb,3,'2025-06-26 03:09:36.847',131,150,99,473,129,180,'2025-06-26 03:09:37.819',972,'2025-06-26 03:09:37.859',1012,yes,yes,yes
52.83.211.74,lzgd1d5a6226e5b4bf2b,1,'2025-06-26 03:10:01.457',152,164,100,467,126,176,'2025-06-26 03:10:02.754',1297,'2025-06-26 03:10:02.794',1337,yes,no,no
52.83.211.74,lzgd1d5a6226e5b4bf2b,2,'2025-06-26 03:10:01.555',149,189,100,382,117,168,'2025-06-26 03:10:02.754',1199,'2025-06-26 03:10:02.795',1240,yes,no,yes
52.83.211.74,lzgd1d5a6226e5b4bf2b,3,'2025-06-26 03:10:01.796',138,151,99,418,114,165,'2025-06-26 03:10:02.734',938,'2025-06-26 03:10:02.755',959,yes,yes,yes
52.83.211.74,lzgd1da1babbb1010ee7,1,'2025-06-26 03:09:51.523',150,157,99,454,133,183,'2025-06-26 03:09:52.671',1148,'2025-06-26 03:09:52.692',1169,yes,yes,yes
52.83.211.74,lzgd1da1babbb1010ee7,2,'2025-06-26 03:09:51.623',134,149,100,405,118,168,'2025-06-26 03:09:52.691',1068,'2025-06-26 03:09:52.731',1108,yes,yes,yes
52.83.211.74,lzgd1da1babbb1010ee7,3,'2025-06-26 03:09:51.722',150,156,99,430,131,182,'2025-06-26 03:09:52.692',970,'2025-06-26 03:09:52.731',1009,yes,yes,yes
52.83.211.74,lzgd1e6181f4e0987357,1,'2025-06-26 03:09:49.717',174,157,99,472,114,164,'2025-06-26 03:09:50.898',1181,'2025-06-26 03:09:50.918',1201,yes,yes,yes
52.83.211.74,lzgd1e6181f4e0987357,2,'2025-06-26 03:09:49.824',154,148,101,401,115,165,'2025-06-26 03:09:50.918',1094,'2025-06-26 03:09:50.958',1134,yes,yes,yes
52.83.211.74,lzgd1e6181f4e0987357,3,'2025-06-26 03:09:49.919',151,173,99,437,134,184,'2025-06-26 03:09:50.918',999,'2025-06-26 03:09:50.958',1039,yes,yes,yes
52.83.211.74,lzgd22c38453eee4dcd2,1,'2025-06-26 03:09:57.294',158,152,100,479,120,171,'2025-06-26 03:09:58.472',1178,'2025-06-26 03:09:58.491',1197,yes,yes,yes
52.83.211.74,lzgd22c38453eee4dcd2,2,'2025-06-26 03:09:57.396',162,156,100,420,110,161,'2025-06-26 03:09:58.491',1095,'2025-06-26 03:09:58.531',1135,yes,yes,yes
52.83.211.74,lzgd22c38453eee4dcd2,3,'2025-06-26 03:09:57.505',154,165,99,437,127,177,'2025-06-26 03:09:58.491',986,'2025-06-26 03:09:58.531',1026,yes,yes,yes
52.83.211.74,lzgd248a705ea1365e60,1,'2025-06-26 03:09:30.724',161,161,99,507,109,159,'2025-06-26 03:09:31.912',1188,'2025-06-26 03:09:31.952',1228,yes,yes,yes
52.83.211.74,lzgd248a705ea1365e60,2,'2025-06-26 03:09:30.822',152,166,99,425,143,193,'2025-06-26 03:09:31.952',1130,'2025-06-26 03:09:31.992',1170,yes,yes,yes
52.83.211.74,lzgd248a705ea1365e60,3,'2025-06-26 03:09:30.922',141,148,99,479,120,170,'2025-06-26 03:09:31.891',969,'2025-06-26 03:09:31.911',989,yes,yes,yes
52.83.211.74,lzgd2ad7456ef4fcba4f,1,'2025-06-26 03:09:39.929',145,164,99,530,133,183,'2025-06-26 03:09:41.161',1232,'2025-06-26 03:09:41.201',1272,yes,yes,yes
52.83.211.74,lzgd2ad7456ef4fcba4f,2,'2025-06-26 03:09:40.028',153,188,99,424,107,157,'2025-06-26 03:09:41.161',1133,'2025-06-26 03:09:41.201',1173,yes,yes,yes
52.83.211.74,lzgd2ad7456ef4fcba4f,3,'2025-06-26 03:09:40.128',155,162,99,499,114,165,'2025-06-26 03:09:41.141',1013,'2025-06-26 03:09:41.161',1033,yes,yes,yes
52.83.211.74,lzgd2b52b3c17c7061b9,1,'2025-06-26 03:09:53.783',131,157,100,463,137,188,'2025-06-26 03:09:54.963',1180,'2025-06-26 03:09:55.002',1219,yes,yes,yes
52.83.211.74,lzgd2b52b3c17c7061b9,2,'2025-06-26 03:09:53.883',143,170,99,393,150,200,'2025-06-26 03:09:55.023',1140,'2025-06-26 03:09:55.042',1159,yes,yes,yes
52.83.211.74,lzgd2b52b3c17c7061b9,3,'2025-06-26 03:09:53.982',135,147,100,463,127,178,'2025-06-26 03:09:54.942',960,'2025-06-26 03:09:54.962',980,yes,no,yes
52.83.211.74,lzgd2cbd00e104249138,1,'2025-06-26 03:09:46.606',147,148,99,501,124,174,'2025-06-26 03:09:47.767',1161,'2025-06-26 03:09:47.807',1201,yes,yes,yes
52.83.211.74,lzgd2cbd00e104249138,2,'2025-06-26 03:09:46.700',154,162,99,368,115,165,'2025-06-26 03:09:47.768',1068,'2025-06-26 03:09:47.808',1108,yes,yes,yes
52.83.211.74,lzgd2cbd00e104249138,3,'2025-06-26 03:09:46.799',173,155,100,415,121,171,'2025-06-26 03:09:47.747',948,'2025-06-26 03:09:47.768',969,yes,yes,yes
